id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
861050895856985899,"Apartamento 2/4 entre Ipanema, Leblon e Lagoa",36704094,Julio,,Ipanema,-22.98437197715452,-43.21542996278399,Entire home/apt,771.0,2,62,2025-09-04,2.09,1,83,26,
992568677085227668,"Safe, Cozy Studio - Near RioCentro, Barra, RJ",126943728,Amanda,,Camorim,-22.98370090691088,-43.41581493616104,Private room,162.0,1,28,2025-08-25,1.17,2,252,9,
1483873802219302768,Conforto e praticidade na Lapa,76486942,Wesley De Sá,,Centro,-22.914735043647678,-43.1778858974576,Entire home/apt,223.0,1,0,,,4,155,0,
1376784228418507502,Conforto e boa localização!,103719521,Ana Luiza Andrade De,,Flamengo,-22.93049702972265,-43.174603082440726,Entire home/apt,146.0,2,7,2025-05-30,1.1,1,59,7,
2682497,Nice Apartment in Copacabana,13639219,Alex,,Copacabana,-22.96736,-43.18153,Entire home/apt,218.0,3,346,2025-09-08,2.52,4,213,37,
1387281681989104860,Ape Copa,673487288,Diego,,Copacabana,-22.964641,-43.174782,Entire home/apt,200.0,1,1,2025-05-04,0.2,1,89,1,
751548886634840952,Dream Barra  Rio de Janeiro,446819945,Steffen,,Barra da Tijuca,-23.0018319,-43.3926111,Entire home/apt,991.0,2,3,2023-12-20,0.09,3,269,0,
1287084941223899901,Apto 02 quartos a 5 min praia até 05 hosp em Copa.,661056356,Marcos,,Copacabana,-22.96433,-43.17613,Entire home/apt,355.0,2,14,2025-05-06,1.33,1,65,14,
13827576,Apto tipo Flat completo para dois,81512814,Mauro,,Jacarepaguá,-22.96957260812227,-43.38793721766646,Entire home/apt,280.0,10,23,2023-01-07,0.22,2,86,0,
1200001571699514734,Apartamento Copacabana,375658720,Julianna,,Copacabana,-22.9679904,-43.1811863,Entire home/apt,1700.0,5,4,2025-02-21,0.32,2,123,3,
1411555218536273028,Kitchenette AO LADO do Metrô Flamengo!,100207416,Jônathas,,Flamengo,-22.9381292,-43.1781058,Entire home/apt,137.0,1,8,2025-08-23,2.02,3,230,8,
1187717434155302066,Queridinho Studio centro+Piscina+Netflix+WiFi,7509686,Cristiana,,Centro,-22.89992,-43.17996,Entire home/apt,165.0,1,94,2025-08-29,6.8,31,59,80,
553622611054238589,Charming Apartment in Gloria,186130399,Yuri,,Glória,-22.919798,-43.179268,Entire home/apt,205.0,3,55,2025-08-02,1.32,2,126,16,
836943971985939614,Ótima localização praia de Copacabana,492684257,Jose,,Copacabana,-22.97412,-43.19029,Entire home/apt,444.0,2,13,2025-05-04,0.56,1,345,8,
